,title_source,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids,title
24,Critical Review of Behavioral Interventions to Preserve the Environment,"Wiluam O. Dwyer, Frank C. Leeming, Melissa K Cobern, Bryan E. Porter, John Mark Jackson",SAGE Publications,1993-09,10.1177/0013916593255001,pub.1016649598,"This review integrates and evaluates the environmental-preservation research published during the 1980s. The focus is environmental behavior change as targeted by behavior analysts and others designing interventions to encourage environmental-preservation behavior. A modified taxonomy of behavioral interventions, based on a taxonomy presented by Geller et al., categorizes these reported interventions by antecedent and consequence conditions. Fifty-four studies were categorized and evaluated according to which of these taxonomic interventions were reported. The conclusions were that (a) antecedent conditions using commitment, demonstration, and goal-setting strategies were generally most effective in encouraging environmentally responsible behavior, and (b) consequence conditions were effective in producing behavior change during the experiment's duration. However, some other important findings were that (a) much of the research in this field during the 1980s did not directly compare interventions, (b) few meaningful follow-up measures were reported, and those evaluations that included follow-up assessment showed little maintenance of the behavior changes, and (c) many potentially effective intervention strategies have been ignored (i.e., group interventions and penalties). Suggestions for future directions of research to produce and maintain environmental-preservation behaviors are offered.",,Environment and Behavior,25,5,242,,"['pub.1069271859', 'pub.1037087187', 'pub.1051017143', 'pub.1003704051', 'pub.1036073356', 'pub.1069269955', 'pub.1044362979', 'pub.1058528460', 'pub.1035526713', 'pub.1017377476', 'pub.1033608809', 'pub.1058528459', 'pub.1004308877', 'pub.1033600099', 'pub.1069273699', 'pub.1003306682', 'pub.1090078679', 'pub.1014517459', 'pub.1024368052', 'pub.1047704756', 'pub.1028049755', 'pub.1059641514', 'pub.1010711255', 'pub.1047004250', 'pub.1030918943', 'pub.1043355554', 'pub.1027970841', 'pub.1024465820', 'pub.1006549019', 'pub.1069276085', 'pub.1058528659', 'pub.1069273117', 'pub.1048093313', 'pub.1001670018', 'pub.1038006166', 'pub.1058528679', 'pub.1046564487', 'pub.1021062006', 'pub.1019801703', 'pub.1036434380', 'pub.1034776720', 'pub.1069271067', 'pub.1040196729', 'pub.1047119010', 'pub.1012158186', 'pub.1015922014', 'pub.1034520045', 'pub.1053585790', 'pub.1043196149', 'pub.1058528784', 'pub.1058528454']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
25,The effects of non-contingent free bus tickets and personal commitment on urban bus ridership,"Wallace Bachman, Richard Katzev",Elsevier,1982-03,10.1016/0191-2607(82)90002-4,pub.1047004250,"To compare the effects of free rides and commitment to a performance goal on increasing bus ridership in an urban setting, 83 non-bus riding automobile drivers were exposed to one of the following conditions. (1) Control where route and schedule information were provided. (2) Commitment, where subjects agreed to ride the bus twice a week during the treatment period. (3) Free Tickets, where an unlimited supply of free bus tickets were provided. (4) Free Tickets Plus Commitment, where the free transit and commitment conditions were combined. While there were no systematic differences between the experimental conditions, each of them produced significantly higher levels of ridership than the no-treatment control group during the 4 week treatment period and two subsequent follow-up periods. These results suggest that both free rides and agreement to a specific performance goal can overcome many of the obstacles which prevent individuals from initiating and maintaining regular patterns of bus ridership.",,Transportation Research Part A Policy and Practice,16,2,49,,"['pub.1046053530', 'pub.1039288134', 'pub.1006704788', 'pub.1005804457', 'pub.1002820121']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
26,"POSITIVE REINFORCEMENT OF LITTER REMOVAL IN THE NATURAL ENVIRONMENT1,2","Richard B. Powers, J. Grayson Osborne, Emmett G. Anderson",Wiley,1973,10.1901/jaba.1973.6-579,pub.1018754203,"Litter is an especially large and costly problem in unsupervised high-use recreational areas. This study investigated procedures to induce visitors to remove litter from an unsupervised U.S. Forest Service area in which signs attached to two litter stations instructed people to pick up and deposit litter. A small sum of money or chances on a larger sum given for participation usually resulted in more bags of litter being picked up per week. Although only a small proportion of the area's users participated in the project, ground surveys indicated the areas sampled were somewhat freer of litter during the payment condition. The results suggest that small monetary rewards may be a promising approach to litter control in unsupervised as well as supervised areas.",,Journal of Applied Behavior Analysis,6,4,61,,"['pub.1049359692', 'pub.1026460447', 'pub.1017441123']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
27,Promoting Source Reduction Behavior,"Raymond De Young, Andrew Duncan, Jeffrey Frank, Nancy Gill, Shereen Rothman, John Shenot, Andrea Shotkin, Miriam Zweizig",SAGE Publications,1993-01,10.1177/0013916593251003,pub.1035004967,"In a study of the conservation behavior of 103 grocery shoppers in Chelsea, Michigan, an information and prompting strategy was used to test various rationales for adopting source reduction behavior. The experimental intervention consisted of mailing an educational pamphlet to participants. The experimental design included four treatment groups: a control and three others. These three other treatment groups each received a pamphlet giving environmental, economic, or a combination of environmental and economic rationales to reduce waste at the source. From data collected in pre-and postintervention survey instruments, it was shown that both environmental and economic rationales for practicing source reduction led to significant increases in reported source reduction behavior. Additionally, the type of conservation behavior promoted (e.g., toxics use reduction) and the location in which it is practiced (i.e., at home, at a store) were found to have an impact on the success of the interventions. Participants were more likely to adopt home-based source reduction of nontoxics over either store-based activities or activities involving toxics use reduction.",,Environment and Behavior,25,1,47,,"['pub.1069270483', 'pub.1033781069', 'pub.1042525630', 'pub.1004308877', 'pub.1050985627', 'pub.1018510388', 'pub.1034520045', 'pub.1069269970', 'pub.1052630728', 'pub.1043847598', 'pub.1069274124']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
28,INCREASING RECYCLING IN ACADEMIC BUILDINGS: A SYSTEMATIC REPLICATION,"Timothy D. Ludwig, Timothy W. Gray, Allison Rowell",Wiley,1998-12,10.1901/jaba.1998.31-683,pub.1030085161,"We placed recycling receptacles in two locations in academic buildings and studied recycling behavior within an ABA multiple baseline design. During baseline, recycling receptacles were placed in a central location. During the intervention, receptacles were moved into classrooms where beverages were primarily consumed. Baseline conditions were then reinstated. The percentage of cans recycled daily increased during intervention and returned to near-baseline levels during withdrawal. The percentage of cans discarded daily in the trash decreased during the intervention and increased to near-baseline levels during withdrawal. Implications of this study include making recycling more convenient in institutional settings.",,Journal of Applied Behavior Analysis,31,4,67,,"['pub.1013196479', 'pub.1051005690', 'pub.1002382193']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
29,Litter in a University Cafeteria,"Catherine A. Durdan, Glenn D. Reeder, Peter R. Hecht",SAGE Publications,1985-05,10.1177/0013916585173007,pub.1043355554,"Litter behavior in a university cafeteria was studied. The research examined the effectiveness of various written behavioral prompts that urged patrons not to litter. Prompting resulted in a significant decrease in the litter. Of greater interest, positively worded prompts were more effective than negatively worded prompts. The specificity of the prompt, however, had no reliable effect. Several demographic variables were also examined. Persons in larger groups littered more than those in smaller groups, and males littered more than females. Also, prior to the introduction of the prompts, persons 25 years of age and older littered (nonsignificantly) more than younger persons. When prompts were in effect, however, this tendency was reversed, with older persons littering much less than younger persons. Finally, littering generally decreased as a function of the convenience of disposal facilities.",,Environment and Behavior,17,3,36,,"['pub.1026536005', 'pub.1034800519', 'pub.1026460447', 'pub.1049538384', 'pub.1017441123', 'pub.1002973666', 'pub.1019800950', 'pub.1102895742', 'pub.1009783869', 'pub.1029664017', 'pub.1040196729', 'pub.1053888187', 'pub.1027052811', 'pub.1063768495', 'pub.1045347411', 'pub.1053124336', 'pub.1019801703']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
30,Applied Behavior Analysis and Occupational Safety,"Thomas E. Boyce, E. Scott Geller",Taylor & Francis,2001-02,10.1300/j075v21n01_03,pub.1014526692,"Methods of generalization (Stokes & Baer, 1977) are applied to investigate contingencies that produce long-term response maintenance in large-scale behavioral interventions for industrial safety. It is proposed that characteristics representing four methods originally outlined by Stokes and Baer (1977) have an additive effect on the duration and amount of response maintenance obtained. To evaluate the validity of this conceptualization, a sample of occupational safety research published in refereed journals between 1974 and 1996 is described and analyzed. Regardless of intervention technique, noteworthy consistencies among all studies successful at producing maintenance were the use of on-site workers to administer the program and general feedback in the context of multiple target behaviors; or a single-target behavior that was easy and convenient to emit. It is recommended that applied behavior analysts set out to program response maintenance at the expense of publishing fewer short-term demonstrations of functional control.",,Journal of Organizational Behavior Management,21,1,39,,"['pub.1062477389', 'pub.1003150104', 'pub.1036331092', 'pub.1002097677', 'pub.1019722024', 'pub.1022511947', 'pub.1059641520', 'pub.1044021258', 'pub.1037818425', 'pub.1036634526', 'pub.1018651298', 'pub.1047209176', 'pub.1020026185', 'pub.1085886019', 'pub.1082311865', 'pub.1008089040', 'pub.1027987578', 'pub.1031834881', 'pub.1041231162', 'pub.1013327883', 'pub.1000635001', 'pub.1032400706', 'pub.1053472326', 'pub.1007176029', 'pub.1049599635', 'pub.1026666002', 'pub.1031132492', 'pub.1009902496', 'pub.1038129250', 'pub.1022860864', 'pub.1028456447', 'pub.1035499921', 'pub.1003079211', 'pub.1021293367', 'pub.1078543222', 'pub.1052599810', 'pub.1011365597', 'pub.1040020976']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
31,A LONGITUDINAL STUDY OF INFORMATIONAL INTERVENTIONS TO SAVE ENERGY IN AN OFFICE BUILDING,"Henk Staats, Esther Leeuwen, Arjaan Wit",Wiley,2000-03,10.1901/jaba.2000.33-101,pub.1005707476,"Informational interventions were employed to promote two behaviors relevant for efficient heating of individual offices in a large office building. In two successive winter seasons, interventions were applied during 4-week periods. Short-term effects were assessed weekly, and long-term effects were assessed 1 year after each of the two intervention periods. Improvements were observed in each intervention period, with partial behavior maintenance 1 year later. The changes observed in the individual offices across conditions are suggestive of the program's capacity to correct relapses in earlier proenvironmental behavior.",,Journal of Applied Behavior Analysis,33,1,80,"['Behavior Therapy', 'Conservation of Energy Resources', 'Heating', 'Humans', 'Longitudinal Studies', 'Motivation', 'Pamphlets', 'Universities']","['pub.1033066989', 'pub.1052951518']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
32,MULTIPLE INCENTIVES IN ENCOURAGING CAR POOL FORMATION ON A UNIVERSITY CAMPUS,"Harvey E. Jacobs, David Fairbanks, Cheryl E. Poche, Jon S. Bailey",Wiley,1982,10.1901/jaba.1982.15-141,pub.1027970841,"The effects of a combined token economy and reserved parking program were evaluated as a means of increasing car pooling among students on a university campus. Following a baseline period, students in two experimental parking lots were notified of the availability of reserved parking and coupons redeemable for 25 cents in merchandise for each occupant of automobiles containing two or more people. Two control lots also were monitored for a comparison of treatment effects. Results indicated variable increases in car pooling in the two experimental lots and no increase in the control lots. Removal of the 25-cent coupons from one treatment lot (reserved parking only) did not adversely affect rates of car pooling. An analysis of individual automobile occupancy rates among car poolers indicated distinct patterns of car pooling and underscored the importance of individual subject data analysis in the present situation. A cost-benefit analysis indicated that even moderately effective car pool programs can be cost-effective on both a public and personal level.",,Journal of Applied Behavior Analysis,15,1,26,,"['pub.1030731574', 'pub.1062513320', 'pub.1012071573', 'pub.1002820121', 'pub.1000286484']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
33,THE MARKED ITEM TECHNIQUE: A PRACTICAL PROCEDURE FOR UTTER CONTROLsp1,"Steven C. Hayes, V. Scott Johnson, John D. Cone",Wiley,1975,10.1901/jaba.1975.8-381,pub.1052897414,"Unobtrusively marked items of litter were placed among existing trash on the grounds of a federal youth correctional facility. Inmates voluntarily collected trash and deposited it at a central location, where they were given money or special privileges for each piece of marked litter found. A multiple-baseline design with litter counts in three areas revealed successive reductions of 55%, 88%, and 71% after 17, 22, and 36 days of baseline, respectively. A fourth area served as a baseline-only control, and revealed no systematic changes. Advantages of the procedure over previously devised techniques were discussed and applications in other areas of pollution control suggested.",,Journal of Applied Behavior Analysis,8,4,33,,"['pub.1026460447', 'pub.1017441123', 'pub.1016268071', 'pub.1018754203', 'pub.1018743681', 'pub.1049359692']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
34,Recycling in multi-family dwellings: Increasing participation and decreasing contamination,"Raymond De Young, Sally Boerschig, Sarah Carney, Anne Dillenbeck, Mark Elster, Susan Horst, Brad Kleiner, Bruce Thomson",Springer Nature,1995-01,10.1007/bf02331920,pub.1024491250,"This study explored the promotion of recycling in multi-family dwellings. An experimental design investigated four behavior change techniques: biweekly postcards giving specific feedback to each dwelling unit as to quantity and contamination of the recyclables, newsletters giving general information on recycling and the amount recycled by the city as a whole, written pledges committing households to recycle for a specified period, and volunteer coordinators who distributed information and answered questions from residents. The effectiveness of these techniques was compared against that of a control group. The findings suggest that volunteer coordinators are not an effective intervention technique in multi-family dwellings, and that feedback and commitment techniques are useful mainly for managing contamination in medium sized complexes. The data also suggest that the size of a multi-family dwelling complex significantly affects the amount of recyclables collected and the level of contamination. Smaller complexes with less than ten units recycled up to three times the amount on a per unit basis as complexes with more units. Smaller units also had fewer problems with contamination in their recyclables. Several explanations are offered for the poor participation and performance in larger complexes.",,Population and Environment,16,3,25,,"['pub.1000635001', 'pub.1043540561', 'pub.1069271302', 'pub.1052951518', 'pub.1050985627', 'pub.1034520045', 'pub.1069280024', 'pub.1004308877', 'pub.1040801089', 'pub.1043847598']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
35,Integrating Behaviorism and Humanism for Environmental Protection,E. Scott Geller,Wiley,1995-01,10.1111/j.1540-4560.1995.tb01354.x,pub.1017397855,"Theory and principles from behaviorism and humanism are integrated to propose a synergistic approach for dealing with the human aspects of environmental protection. Numerous intervention agents are needed worldwide to implement the kind of behavior-change techniques that lead to positive attitudes. This requires people to “actively care.” Research is reviewed to support an actively caring model, which proposes that certain person states increase one's propensity to actively care for the environment. Strategies to increase these person states or expectancies are found in the basic principles and technology of behaviorism. Behaviorism offers the technology for changing behaviors and attitudes in environment-protective directions, while humanism offers the states or expectancies needed in people to increase their propensity to actively care for the environment.",,Journal of Social Issues,51,4,41,,"['pub.1031221672', 'pub.1033781069', 'pub.1051017143', 'pub.1039612041', 'pub.1052951518', 'pub.1072898095', 'pub.1034751035', 'pub.1002097677', 'pub.1026713949', 'pub.1037590464', 'pub.1037107701', 'pub.1004308877', 'pub.1043313691', 'pub.1032136499', 'pub.1018240641', 'pub.1008484318', 'pub.1013429194', 'pub.1024368052', 'pub.1037529548', 'pub.1005476684', 'pub.1014846163', 'pub.1031086408', 'pub.1069276085', 'pub.1016641682', 'pub.1009318162', 'pub.1026326621', 'pub.1018773637', 'pub.1042167390', 'pub.1069788193', 'pub.1024606449', 'pub.1024304328', 'pub.1039125988', 'pub.1040430866', 'pub.1044960171', 'pub.1034520045', 'pub.1043206332', 'pub.1050305334', 'pub.1000286484']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
36,AN EXPERIMENTAL ANALYSIS OF ANTI‐LITTER PROCEDURES1,"Robert L. Burgess, Roger N. Clark, John C. Hendee",Wiley,1971,10.1901/jaba.1971.4-71,pub.1026460447,"This study evaluates the differential effectiveness of six different anti-litter procedures in two neighborhood theaters. The procedures used to encourage individuals in attendance to pick up litter and deposit it properly included: providing litterbags, providing litterbags with instructions to use them, providing extra trash cans, showing a special anti-litter film before the feature film, and providing incentives for the appropriate deposit of litter. In both theaters, the incentive procedures resulted in the removal of over 90% of all litter by the children in attendance, a figure far above that achieved by the other procedures investigated.",,Journal of Applied Behavior Analysis,4,2,117,,,Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
37,Instructions as a Determinant of Paper-Disposal Behaviors,"E. Scott Geller, Jill F. Wittmier, Andra L. Orebaugh",SAGE Publications,1976-09,10.1177/136327527600800305,pub.1002973666,,,Environment and Behavior,8,3,46,,"['pub.1026460447', 'pub.1018212472', 'pub.1017441123', 'pub.1041250181', 'pub.1051951033', 'pub.1018754203', 'pub.1109719927', 'pub.1018743681', 'pub.1049359692']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
38,CHANGING ORGANIZATIONAL ENERGY CONSUMPTION BEHAVIOUR THROUGH COMPARATIVE FEEDBACK,"FRANS W. SIERO, ARNOLD B. BAKKER, GERDA B. DEKKER, MARCEL T.C. VAN DEN BURG",Elsevier,1996-09,10.1006/jevp.1996.0019,pub.1029025585,"The differential effects of two forms of feedback on energy consumption behaviour were examined in two units of a metallurgical company. In one unit, employees received information about energy conservation, had to set goals and received feedback on their own conservation behaviour. The same procedure was followed with employees in a second unit, but they also received information about the performance of the first unit. In accordance with predictions from social identity theory and social comparison theory, the results clearly showed that employees in the comparative feedback condition saved more energy than employees who only received information about their own performance, even half a year after the intervention. A remarkable finding was that behavioural change took place with hardly any changes in attitudes or intentions. The discussion focuses on these findings and on their implications for organizational behaviour change in general.",,Journal of Environmental Psychology,16,3,190,,"['pub.1008093687', 'pub.1027045854', 'pub.1069992380', 'pub.1028096450', 'pub.1007491773', 'pub.1033234746', 'pub.1008421323', 'pub.1024316683', 'pub.1007070636', 'pub.1036830027', 'pub.1011406292', 'pub.1028082114', 'pub.1029888265']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
39,Motivating Energy Efficient Travel: A Community-Based Intervention for Encouraging Biking,"Joni Mayer, E. Scott Geller",Portico,1982-01-01,10.2190/c9h7-6ulx-w52k-hw2d,pub.1069273117,,,Journal of Environmental Systems,12,2,22,,"['pub.1030731574', 'pub.1039288134', 'pub.1012071573', 'pub.1002820121', 'pub.1000286484']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
40,Improving Environmental Behavior in Companies,"Dancker D. L. Daamen, Henk Staats, Henk A. M. Wilke, Mirjam Engelen",SAGE Publications,2001-03,10.1177/00139160121972963,pub.1032170342,"Workshop managers in garages (N = 153) received a message by mail with recommendations on how their subordinates should behave to reduce oil pollution of wastewater. The recommendations were either tailored or not tailored to the current behavior routines in each specific workshop. Tailored messages resulted in more accurate knowledge (assessed 1 week postintervention) and in more pro-environmental behavior (assessed 3 months postintervention and compared to pretest data). Tailored messages were as effective with or without additional information on behavior routines in other garages. Compared to no message (control group, n = 60), the tailored messages resulted in more pro-environmental behavior. The nontailored messages were hardly more effective than no message. The nontailored messages remained as ineffective when readers were helped (via a routing procedure) to select those parts of the message relevant to their workshop. It is concluded that tailoring is a promising new approach when campaigning for pro-environmental behavior in organizations.",,Environment and Behavior,33,2,39,,"['pub.1030646593', 'pub.1052951518', 'pub.1082640931', 'pub.1059641771', 'pub.1031873810', 'pub.1037924564', 'pub.1033209689', 'pub.1037762031', 'pub.1036818395', 'pub.1031777396', 'pub.1029713134', 'pub.1029782298', 'pub.1003762095', 'pub.1045335329', 'pub.1016649598', 'pub.1013127640', 'pub.1068874822', 'pub.1052251424', 'pub.1004973020', 'pub.1041888358', 'pub.1074365399', 'pub.1025195517', 'pub.1025602842', 'pub.1042936160', 'pub.1023145566', 'pub.1068875079', 'pub.1009549848', 'pub.1036796922']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
41,Environmental interventions for litter control,"E. Scott Geller, Jill F. Witmer, Margaret A. Tuso",American Psychological Association (APA),1977-06,10.1037/0021-9010.62.3.344,pub.1029664017,"In 2 experiments, customers entering a grocery store were given a handbill listing specially priced items, and later the disposal locations of handbills left in the store were recorded. Exp I showed that specific disposal instructions at the bottom of the handbill prompted about 30% of 1,146 handbill recipients to use a particular trash receptacle. Of the 1,231 customers who received no antilitter message on their handbill, only 9% disposed of their handbills in 1 of 2 available trash receptacles, and this percentage did not increase when other customers received specific disposal instructions within the same time period. In Exp II the store was systematically littered on alternate days with 140 handbills. For the littered-store condition a total of 32 out of 639 handbill recipients disposed of their handbills on the floor. However, when the store was free of handbill litter, only 6 of 616 customers dropped a handbill on the floor. (17 ref)",,Journal of Applied Psychology,62,3,66,,"['pub.1041250181', 'pub.1069273744', 'pub.1026460447']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
42,The Effects of Litter on Littering Behavior in a Forest Environment,"S. Larry Crump, Dennis L. Nunes, E. K. Crossman",SAGE Publications,1977-03,10.1177/001391657791009,pub.1009954830,"Previous research has suggested that there are stimuli in the environment that can influence the amount of litter discarded in that environment. This experiment investigated the effects of litter already present within an area on littering behavior in a forest setting. The study was conducted for a period of four successive Fridays. The first and third Fridays were used to obtain an estimate of the amount of litter that accumulated after the areas were cleaned of litter (the nonlittered condition). During the second and fourth Fridays all litter was removed from the area, then 60 pieces of litter were scattered throughout the picnic site (the littered condition). The number of pieces of litter was counted each Saturday morning. The amount of litter found on Saturday mornings following a littered condition was always less than the amount of litter found following a nonlittered condition. In those areas which were littered, people had a tendency not to discard additional litter.",,Environment and Behavior,9,1,13,,"['pub.1026460447', 'pub.1017441123', 'pub.1032349565', 'pub.1032025466', 'pub.1018754203', 'pub.1018743681', 'pub.1049359692']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
43,"INCREASING RECYCLING IN OFFICE ENVIRONMENTS: THE EFFECTS OF SPECIFIC, INFORMATIVE CUES","John Austin, David B. Hatfield, Angelica C. Grindle, Jon S. Bailey",Wiley,1993-06,10.1901/jaba.1993.26-247,pub.1051005690,"We investigated the effects of prompts on the recycling behavior of approximately 217 faculty, staff, and graduate students in two academic departments of a large university. During the intervention, two signs were posted in each department. One sign prompted recycling (posted above the recycling receptacle), and the other sign prompted proper disposal of trash (posted above the trash receptacle). Results of a multiple baseline design across the two departments indicated that the sign prompt increased recycling behavior. Installation of the sign prompts in close proximity to receptacles in Department A resulted in a 54% improvement over baseline. Posting of sign prompts over containers 4 m apart in Department B resulted in a 17% improvement, whereas positioning the signs and receptacles in close proximity resulted in a 29% improvement over baseline.",,Journal of Applied Behavior Analysis,26,2,113,,"['pub.1025225251', 'pub.1042525630', 'pub.1018171405', 'pub.1019800950', 'pub.1001950843', 'pub.1069276010', 'pub.1050282764', 'pub.1037618143', 'pub.1037928665']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
44,Designing Effective Instructional Signs With Schema Theory,"Carol M. Werner, Mark U. Rhodes, Kimberly K. Partain",SAGE Publications,1998-09,10.1177/001391659803000506,pub.1003648986,"Two studies supported the hypothesis that signs designed to create a new polystyrene schema would be more effective than signs that did not address patrons' existing schemata. Schema-sensitive signs would (a) clearly define different types of polystyrene, (b) teach how clean polystyrene needed to be, and (c) keep contaminants out of the recycling bin. Study 1 showed a substantial increase in volume (from .25 to 3.5 bins recycled per day) and cleanliness (from major contamination to none), as well as corresponding increases in cafeteria patrons' knowledge about polystyrene recycling. Study 2 replicated the behavioral effects. Relative to the baseline, with schema-sensitive signs in place, weight increased by 87% and cleanliness scores improved by 43%. Although recycling quantity and quality improved during additional interventions, they were not significantly higher than levels achieved with only the schema-sensitive signs. Discussion suggested using schemasensitive interventions that are embedded in the total behavioral system.",,Environment and Behavior,30,5,39,,"['pub.1033781069', 'pub.1004257255', 'pub.1045253371', 'pub.1052122046', 'pub.1047924964', 'pub.1012422556', 'pub.1023306084', 'pub.1023953347', 'pub.1027257552', 'pub.1038403570', 'pub.1051005690', 'pub.1020077948', 'pub.1048482431', 'pub.1040801089', 'pub.1012180293']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
45,THE BUCKLE‐UP PROMISE CARD: A VERSATILE INTERVENTION FOR LARGE‐SCALE BEHAVIOR CHANGE,"E. Scott Geller, Galen R. Lehman",Wiley,1991-03,10.1901/jaba.1991.24-91,pub.1021293367,,,Journal of Applied Behavior Analysis,24,1,38,,"['pub.1000635001', 'pub.1079538821', 'pub.1051017143', 'pub.1069271302', 'pub.1003079211', 'pub.1009146208', 'pub.1022434918', 'pub.1040614404', 'pub.1069280024', 'pub.1052639160', 'pub.1004308877', 'pub.1044021258', 'pub.1022860864', 'pub.1028456447']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
46,Prompting Turning-Out Lights in Unoccupied Rooms,Richard A. Winett,Portico,1977-01-01,10.2190/qbav-xlfw-rjhu-00jd,pub.1069278079,,,Journal of Environmental Systems,7,3,44,,['pub.1026416269'],Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
47,Increasing Community Recycling with Persuasive Communication and Public Commitment,"Shawn M. Burn, Stuart Oskamp",Wiley,1986-02,10.1111/j.1559-1816.1986.tb02276.x,pub.1034520045,"Persuasive communication and public commitment were used to encourage recycling in a citywide program. The persuasive communication was a combination of factors which have been found by laboratory researchers to produce attitude and/or behavior change. The public commitment manipulation involved signing a statement supportive of recycling. Households which did not recycle during a 6-week baseline period were selected for experimental study. Trained Boy Scouts made an oral informational statement and then gave each of 201 experimental households one of three treatments (a written persuasive communication, public commitment, or both). A control group of 132 homes received no treatment. Recycling was observed for 6 weeks following delivery of all treatments. Results indicated that the three treatment groups recycled significantly more than the control group but did not differ significantly from each other. Future directions for applied work in this domain are discussed.",,Journal of Applied Social Psychology,16,1,134,,"['pub.1019133453', 'pub.1009092305', 'pub.1018897743', 'pub.1041407757', 'pub.1010084964', 'pub.1004354007', 'pub.1009783869', 'pub.1023209280', 'pub.1006288898', 'pub.1069278221', 'pub.1069272952', 'pub.1007968555', 'pub.1030625894', 'pub.1040801089']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
48,Reducing Energy Consumption: The Long‐Term Effects of a Single TV Program,"Richard A. Winett, Ingrid N. Leckliter, Donna E. Chinn, Brian Stahl",Oxford University Press (OUP),1984-09-01,10.1111/j.1460-2466.1984.tb02172.x,pub.1053585790,,,Journal of Communication,34,3,18,,"['pub.1039871729', 'pub.1029713134', 'pub.1024368052', 'pub.1013788676', 'pub.1016739902', 'pub.1047552922', 'pub.1020982095', 'pub.1070003868']",Behavior Analysis and Environmental Protection: Accomplishments and Potential for More
